round,w1,w2,w3,w4
0,0.25,0.25,0.25,0.25
1,0.25,0.25,0.25,0.25
2,0.25,0.25,0.25,0.25
3,0.25,0.25,0.25,0.25
4,0.25,0.25,0.25,0.25
5,0.25,0.25,0.25,0.25
6,0.1,0.0,0.15000000000000002,0.75
7,0.25,0.25,0.25,0.25
8,0.25,0.25,0.25,0.25
9,0.25,0.25,0.25,0.25
10,0.25,0.25,0.25,0.25
11,0.25,0.25,0.25,0.25
12,0.1,0.65,0.2,0.05
13,0.1,0.2,0.1,0.6000000000000001
14,0.25,0.25,0.25,0.25
15,0.25,0.25,0.25,0.25
16,0.25,0.25,0.25,0.25
17,0.25,0.25,0.25,0.25
18,0.25,0.25,0.25,0.25
19,0.35000000000000003,0.25,0.1,0.30000000000000004
20,0.05,0.05,0.30000000000000004,0.6000000000000001
21,0.25,0.25,0.25,0.25
22,0.25,0.25,0.25,0.25
23,0.25,0.25,0.25,0.25
24,0.25,0.25,0.25,0.25
25,0.25,0.25,0.25,0.25
26,0.4,0.1,0.0,0.5
27,0.2,0.1,0.25,0.45
28,0.25,0.25,0.25,0.25
29,0.25,0.25,0.25,0.25
30,0.35000000000000003,0.0,0.35000000000000003,0.30000000000000004
31,0.25,0.25,0.25,0.25
32,0.25,0.25,0.25,0.25
33,0.25,0.25,0.25,0.25
34,0.25,0.25,0.25,0.25
35,0.25,0.25,0.25,0.25
36,0.25,0.25,0.25,0.25
37,0.25,0.25,0.25,0.25
38,0.25,0.25,0.25,0.25
39,0.25,0.25,0.25,0.25
40,0.25,0.25,0.25,0.25
41,0.25,0.25,0.25,0.25
42,0.1,0.2,0.0,0.7000000000000001
43,0.2,0.35000000000000003,0.25,0.2
44,0.2,0.55,0.1,0.15000000000000002
45,0.25,0.25,0.25,0.25
46,0.25,0.25,0.25,0.25
47,0.25,0.25,0.25,0.25
48,0.15000000000000002,0.0,0.45,0.4
49,0.25,0.25,0.25,0.25
50,0.25,0.25,0.25,0.25
51,0.25,0.25,0.25,0.25
52,0.25,0.25,0.25,0.25
53,0.7000000000000001,0.15000000000000002,0.15000000000000002,0.0
54,0.25,0.25,0.25,0.25
55,0.25,0.25,0.25,0.25
56,0.25,0.25,0.25,0.25
57,0.05,0.55,0.05,0.35000000000000003
58,0.25,0.25,0.25,0.25
59,0.55,0.05,0.1,0.30000000000000004
60,0.0,0.15000000000000002,0.35000000000000003,0.5
61,0.25,0.25,0.25,0.25
62,0.25,0.25,0.25,0.25
63,0.25,0.25,0.25,0.25
64,0.25,0.25,0.25,0.25
65,0.25,0.25,0.25,0.25
66,0.2,0.30000000000000004,0.0,0.5
67,0.25,0.15000000000000002,0.6000000000000001,0.0
68,0.25,0.25,0.25,0.25
69,0.25,0.25,0.25,0.25
70,0.25,0.25,0.25,0.25
71,0.25,0.25,0.25,0.25
72,0.25,0.25,0.25,0.25
73,0.25,0.25,0.25,0.25
74,0.25,0.25,0.25,0.25
