scenario,N,protocol,cluster_protocol_cost_s,avg_role_changes,network_lifetime_s,dead_nodes,isolation_clusters_avg,avg_end_to_end_delay_s,packet_delivery_ratio
case1,10,icra,0.2075824,4.5,329.0,10,6,0.0,0.0
case1,10,wca,0.18439999999999998,17.0,218.0,10,6,0.0054459999999999995,0.009900990099009901
case1,10,dca,0.1820829333333333,8.4,255.0,10,6,0.0,0.0
case1,20,icra,0.22463999999999998,16.7,314.0,20,10,0.0054459999999999995,0.01048951048951049
case1,20,wca,0.232224,39.1,212.0,20,10,0.0065352,0.028089887640449437
case1,20,dca,0.19746093333333334,31.65,248.0,20,10,0.009076666666666665,0.014423076923076924
case1,50,icra,0.28012,15.94,275.0,50,16,0.0054459999999999995,0.012838801711840228
case1,50,wca,0.36152,67.74,233.0,50,19,0.007261333333333332,0.011741682974559686
case1,50,dca,0.22250586666666666,54.96,288.0,50,19,0.008169,0.0033222591362126247
case1,100,icra,0.3359088,18.97,375.0,100,19,0.005899833333333333,0.007481296758104738
case1,100,wca,0.636432,101.63,267.0,100,21,0.008900857142857143,0.006404391582799634
case1,100,dca,0.2955572,83.22,297.0,100,22,0.0059665,0.009523809523809525
case2,10,icra,0.2281376,11.3,1014.0,10,8,0.0054459999999999995,0.004878048780487805
case2,10,wca,0.24631999999999998,44.7,846.0,10,9,0.0054459999999999995,0.016666666666666666
case2,10,dca,0.2376208,35.8,892.0,10,8,0.0054459999999999995,0.016129032258064516
case2,20,icra,0.2800624,23.7,1018.0,20,12,0.006487,0.012875536480686695
case2,20,wca,0.341616,87.95,880.0,20,14,0.0054459999999999995,0.00819672131147541
case2,20,dca,0.270818,75.25,918.0,20,14,0.0065352,0.013262599469496022
case2,50,icra,0.3490144,29.18,1080.0,50,21,0.0054459999999999995,0.004834810636583401
case2,50,wca,0.615488,158.14,931.0,50,23,0.006224000000000001,0.013257575757575758
case2,50,dca,0.3279809333333333,129.5,1016.0,50,24,0.006353666666666666,0.005420054200542005
case2,100,icra,0.4119472,33.45,1158.0,81,23,0.007094823529411764,0.0062043795620437955
case2,100,wca,1.150752,217.32,1086.0,100,23,0.006613,0.006357856494096276
case2,100,dca,0.39984146666666665,196.35,1124.0,100,32,0.007059142857142855,0.005740057400574006
case3,10,icra,0.2207744,7.3,1028.0,10,9,0.0054459999999999995,0.005235602094240838
case3,10,wca,0.24545599999999998,45.2,852.0,10,9,0.0054459999999999995,0.011764705882352941
case3,10,dca,0.23957746666666666,36.8,878.0,10,8,0.0,0.0
case3,20,icra,0.2707616,21.4,1007.0,20,13,0.0054459999999999995,0.010940919037199124
case3,20,wca,0.340592,84.85,863.0,20,14,0.007261333333333332,0.008379888268156424
case3,20,dca,0.2585232,61.65,922.0,20,15,0.0054459999999999995,0.005235602094240838
case3,50,icra,0.3397168,27.82,1099.0,50,21,0.005534888888888889,0.006939090208172706
case3,50,wca,0.6057279999999999,149.28,921.0,50,24,0.006807499999999999,0.008130081300813009
case3,50,dca,0.3232645333333333,132.08,1029.0,50,24,0.005526,0.009191176470588236
case3,100,icra,0.41282719999999995,33.84,1202.0,82,22,0.006807500000000001,0.005724508050089445
case3,100,wca,1.161248,217.63,1002.0,100,22,0.007578736842105267,0.008333333333333333
case3,100,dca,0.4031061333333333,196.83,1134.0,100,31,0.007247874999999999,0.0064672594987873885
