scenario,N,protocol,cluster_protocol_cost_s,avg_role_changes,network_lifetime_s,dead_nodes,isolation_clusters_avg,avg_end_to_end_delay_s,packet_delivery_ratio
case1,10,icra,0.00436,3.2,380.0,10,6,0.0038976,0.036231884057971016
case1,10,wca,0.0041600000000000005,5.1,409.0,10,6,0.0040176000000000005,0.03816793893129771
case1,10,dca,0.0041600000000000005,7.2,409.0,10,6,0.0033480000000000003,0.05673758865248227
case1,20,icra,0.00942,8.0,326.0,20,11,0.006248571428571429,0.06501547987616099
case1,20,wca,0.008879999999999999,17.6,388.0,20,10,0.006696000000000002,0.04788732394366197
case1,20,dca,0.008879999999999999,22.3,385.0,20,10,0.008035200000000003,0.057971014492753624
case1,50,icra,0.026279999999999974,16.88,357.0,50,19,0.01185320930232558,0.05740987983978638
case1,50,wca,0.024719999999999968,37.2,384.0,50,14,0.009131657142857139,0.04046242774566474
case1,50,dca,0.024719999999999968,49.6,404.0,50,12,0.009739885714285714,0.039637599093997736
case1,100,icra,0.05816999999999952,25.72,380.0,100,29,0.024088170731707312,0.10775295663600526
case1,100,wca,0.05511999999999951,59.51,453.0,100,16,0.010446566037735852,0.028146574614976102
case1,100,dca,0.05511999999999951,76.84,458.0,100,13,0.01029744578313253,0.04325169359041167
case2,10,icra,0.00436,5.1,1142.0,10,9,0.0071856,0.04310344827586207
case2,10,wca,0.0041600000000000005,28.7,1200.0,10,8,0.007340000000000001,0.03543307086614173
case2,10,dca,0.0041600000000000005,30.6,1200.0,10,8,0.007275600000000002,0.03968253968253968
case2,20,icra,0.00942,12.25,1160.0,20,14,0.009537000000000006,0.06292134831460675
case2,20,wca,0.008879999999999999,52.15,1291.0,20,13,0.00825388235294118,0.033073929961089495
case2,20,dca,0.008879999999999999,52.8,1306.0,20,12,0.009283333333333334,0.0345489443378119
case2,50,icra,0.026279999999999974,25.0,1171.0,50,30,0.013582813186813189,0.07148468185388845
case2,50,wca,0.024719999999999968,93.38,1394.0,42,18,0.00941069387755102,0.03328804347826087
case2,50,dca,0.024719999999999968,106.96,1485.0,3,15,0.010210058823529418,0.0451527224435591
case2,100,icra,0.05816999999999952,37.47,1184.0,100,46,0.030583786046511616,0.16929133858267717
case2,100,wca,0.05511999999999951,127.33,1500,0,16,0.010900396039603957,0.033666666666666664
case2,100,dca,0.05511999999999951,137.02,1500,0,13,0.011751300000000011,0.04
case3,10,icra,0.00436,6.2,1149.0,10,9,0.006496,0.037815126050420166
case3,10,wca,0.0041600000000000005,22.2,1207.0,10,8,0.00765257142857143,0.02734375
case3,10,dca,0.0041600000000000005,27.0,1204.0,10,8,0.007533000000000001,0.031007751937984496
case3,20,icra,0.0095,9.85,1145.0,20,16,0.010297333333333339,0.05555555555555555
case3,20,wca,0.00896,49.35,1280.0,20,13,0.008066000000000002,0.049079754601226995
case3,20,dca,0.00896,50.55,1299.0,20,12,0.008720869565217393,0.045816733067729085
case3,50,icra,0.026199999999999973,25.56,1156.0,50,31,0.013648714285714283,0.0707070707070707
case3,50,wca,0.024639999999999967,93.58,1405.0,39,18,0.01067462068965517,0.040502793296089384
case3,50,dca,0.024639999999999967,104.24,1485.0,3,15,0.010612764705882355,0.04641638225255973
case3,100,icra,0.05841999999999951,35.91,1188.0,100,48,0.033707637096774164,0.19054936611601997
case3,100,wca,0.0554399999999995,126.67,1500,0,17,0.011948651162790693,0.029381619405534676
case3,100,dca,0.0554399999999995,134.27,1500,0,14,0.011820807692307698,0.03553126067646054
