round,w1,w2,w3,w4
0,0.25,0.25,0.25,0.25
1,0.25,0.25,0.25,0.25
2,0.25,0.25,0.25,0.25
3,0.25,0.25,0.25,0.25
4,0.25,0.25,0.25,0.25
5,0.25,0.25,0.25,0.25
6,0.25,0.25,0.25,0.25
7,0.25,0.25,0.25,0.25
8,0.25,0.25,0.25,0.25
9,0.25,0.25,0.25,0.25
10,0.25,0.25,0.25,0.25
11,0.25,0.25,0.25,0.25
12,0.25,0.25,0.25,0.25
13,0.25,0.25,0.25,0.25
14,0.25,0.25,0.25,0.25
15,0.25,0.25,0.25,0.25
16,0.25,0.25,0.25,0.25
17,0.25,0.25,0.25,0.25
18,0.25,0.25,0.25,0.25
19,0.25,0.25,0.25,0.25
20,0.25,0.25,0.25,0.25
21,0.25,0.25,0.25,0.25
22,0.25,0.25,0.25,0.25
23,0.25,0.25,0.25,0.25
24,0.25,0.25,0.25,0.25
25,0.25,0.25,0.25,0.25
26,0.25,0.25,0.25,0.25
27,0.25,0.25,0.25,0.25
28,0.25,0.25,0.25,0.25
29,0.25,0.25,0.25,0.25
30,0.25,0.25,0.25,0.25
31,0.25,0.25,0.25,0.25
32,0.25,0.25,0.25,0.25
33,0.25,0.25,0.25,0.25
34,0.25,0.25,0.25,0.25
35,0.25,0.25,0.25,0.25
36,0.25,0.25,0.25,0.25
37,0.25,0.25,0.25,0.25
38,0.25,0.25,0.25,0.25
39,0.25,0.25,0.25,0.25
40,0.25,0.25,0.25,0.25
41,0.25,0.25,0.25,0.25
42,0.25,0.25,0.25,0.25
43,0.25,0.25,0.25,0.25
44,0.25,0.25,0.25,0.25
45,0.25,0.25,0.25,0.25
46,0.25,0.25,0.25,0.25
47,0.25,0.25,0.25,0.25
48,0.25,0.25,0.25,0.25
49,0.25,0.25,0.25,0.25
50,0.25,0.25,0.25,0.25
51,0.25,0.25,0.25,0.25
52,0.25,0.25,0.25,0.25
53,0.25,0.25,0.25,0.25
54,0.25,0.25,0.25,0.25
55,0.25,0.25,0.25,0.25
56,0.25,0.25,0.25,0.25
57,0.25,0.25,0.25,0.25
58,0.25,0.25,0.25,0.25
59,0.25,0.25,0.25,0.25
60,0.25,0.25,0.25,0.25
61,0.25,0.25,0.25,0.25
62,0.25,0.25,0.25,0.25
63,0.25,0.25,0.25,0.25
64,0.25,0.25,0.25,0.25
65,0.25,0.25,0.25,0.25
66,0.25,0.25,0.25,0.25
67,0.25,0.25,0.25,0.25
68,0.25,0.25,0.25,0.25
69,0.25,0.25,0.25,0.25
70,0.25,0.25,0.25,0.25
71,0.25,0.25,0.25,0.25
72,0.25,0.3,0.2,0.25
73,0.25,0.3,0.2,0.25
74,0.25,0.3,0.2,0.25
75,0.25,0.3,0.2,0.25
76,0.25,0.3,0.2,0.25
77,0.25,0.3,0.2,0.25
78,0.25,0.3,0.2,0.25
79,0.25,0.3,0.2,0.25
80,0.25,0.3,0.2,0.25
81,0.25,0.3,0.2,0.25
82,0.25,0.3,0.2,0.25
83,0.25,0.3,0.2,0.25
84,0.25,0.3,0.2,0.25
85,0.25,0.3,0.2,0.25
86,0.25,0.3,0.2,0.25
87,0.25,0.3,0.2,0.25
88,0.25,0.3,0.2,0.25
89,0.3,0.3,0.15,0.25
90,0.3333333333,0.2857142857,0.1428571429,0.2380952381
91,0.35,0.3,0.15,0.2
92,0.35,0.3,0.15,0.2
93,0.35,0.3,0.15,0.2
94,0.35,0.3,0.15,0.2
95,0.35,0.3,0.15,0.2
96,0.35,0.3,0.15,0.2
97,0.35,0.3,0.15,0.2
98,0.35,0.3,0.15,0.2
99,0.35,0.3,0.15,0.2
100,0.35,0.3,0.15,0.2
101,0.35,0.3,0.15,0.2
102,0.35,0.3,0.15,0.2
103,0.35,0.3,0.15,0.2
104,0.35,0.3,0.15,0.2
105,0.35,0.3,0.15,0.2
106,0.35,0.3,0.15,0.2
107,0.35,0.3,0.15,0.2
108,0.35,0.3,0.15,0.2
109,0.35,0.3,0.15,0.2
110,0.35,0.3,0.15,0.2
111,0.35,0.3,0.15,0.2
112,0.35,0.3,0.15,0.2
113,0.35,0.3,0.15,0.2
114,0.35,0.3,0.15,0.2
115,0.35,0.3,0.15,0.2
116,0.35,0.3,0.15,0.2
117,0.35,0.3,0.15,0.2
118,0.35,0.3,0.15,0.2
119,0.35,0.3,0.15,0.2
120,0.35,0.3,0.15,0.2
121,0.35,0.3,0.15,0.2
122,0.35,0.3,0.15,0.2
123,0.35,0.3,0.15,0.2
124,0.35,0.3,0.15,0.2
125,0.35,0.3,0.15,0.2
126,0.35,0.3,0.15,0.2
127,0.35,0.3,0.15,0.2
128,0.35,0.3,0.15,0.2
129,0.35,0.3,0.15,0.2
130,0.35,0.3,0.15,0.2
131,0.35,0.3,0.15,0.2
132,0.35,0.3,0.15,0.2
133,0.35,0.3,0.15,0.2
134,0.35,0.3,0.15,0.2
135,0.35,0.3,0.15,0.2
136,0.35,0.3,0.15,0.2
137,0.35,0.3,0.15,0.2
138,0.35,0.3,0.15,0.2
139,0.35,0.3,0.15,0.2
140,0.35,0.3,0.15,0.2
141,0.35,0.3,0.15,0.2
142,0.35,0.3,0.15,0.2
143,0.35,0.3,0.15,0.2
144,0.35,0.3,0.15,0.2
145,0.35,0.3,0.15,0.2
146,0.35,0.3,0.15,0.2
147,0.35,0.3,0.15,0.2
148,0.35,0.3,0.15,0.2
149,0.35,0.3,0.15,0.2
150,0.35,0.3,0.15,0.2
151,0.35,0.3,0.15,0.2
152,0.35,0.3,0.15,0.2
153,0.35,0.3,0.15,0.2
154,0.35,0.3,0.15,0.2
155,0.35,0.3,0.15,0.2
